subjID	group	trial	choice	rt	gain	loss
0	hc	0	1	0	1	0
0	hc	1	2	0	0	0
0	hc	2	1	0	0	0
0	hc	3	3	0	0	0
0	hc	4	3	0	0	0
0	hc	5	1	0	0	0
0	hc	6	1	0	1	0
0	hc	7	1	0	0	0
0	hc	8	2	0	0	0
0	hc	9	2	0	0	0
0	hc	10	3	0	0	0
0	hc	11	3	0	1	0
0	hc	12	3	0	0	0
0	hc	13	2	0	0	0
0	hc	14	2	0	1	0
0	hc	15	1	0	0	-1
0	hc	16	2	0	0	0
0	hc	17	2	0	1	-1
0	hc	18	3	0	0	0
0	hc	19	2	0	0	0
0	hc	20	3	0	0	-1
0	hc	21	1	0	0	0
0	hc	22	1	0	0	-1
0	hc	23	2	0	0	0
0	hc	24	2	0	0	0
0	hc	25	1	0	0	0
0	hc	26	2	0	0	0
0	hc	27	2	0	1	0
0	hc	28	1	0	0	-1
0	hc	29	3	0	0	0
1	hc	0	2	0	0	0
1	hc	1	3	0	1	0
1	hc	2	3	0	0	-1
1	hc	3	2	0	0	0
1	hc	4	2	0	0	0
1	hc	5	2	0	0	0
1	hc	6	2	0	0	0
1	hc	7	1	0	1	0
1	hc	8	2	0	0	0
1	hc	9	1	0	0	0
1	hc	10	1	0	0	0
1	hc	11	1	0	0	0
1	hc	12	1	0	0	0
1	hc	13	2	0	0	-1
1	hc	14	1	0	0	0
1	hc	15	1	0	1	0
1	hc	16	3	0	0	0
1	hc	17	1	0	0	0
1	hc	18	1	0	0	0
1	hc	19	3	0	0	0
1	hc	20	1	0	0	0
1	hc	21	1	0	0	0
1	hc	22	2	0	0	0
1	hc	23	3	0	0	0
1	hc	24	2	0	0	0
1	hc	25	2	0	0	0
1	hc	26	2	0	1	0
1	hc	27	3	0	0	-1
1	hc	28	1	0	0	-1
1	hc	29	2	0	0	-1
2	hc	0	2	0	0	0
2	hc	1	1	0	1	0
2	hc	2	3	0	0	0
2	hc	3	2	0	1	0
2	hc	4	3	0	0	0
2	hc	5	2	0	0	0
2	hc	6	2	0	0	0
2	hc	7	3	0	1	-1
2	hc	8	2	0	0	0
2	hc	9	1	0	0	-1
2	hc	10	2	0	0	0
2	hc	11	2	0	0	0
2	hc	12	2	0	0	0
2	hc	13	1	0	0	0
2	hc	14	3	0	0	0
2	hc	15	3	0	0	0
2	hc	16	2	0	0	-1
2	hc	17	3	0	0	0
2	hc	18	1	0	0	-1
2	hc	19	3	0	0	0
2	hc	20	3	0	0	-1
2	hc	21	2	0	0	0
2	hc	22	2	0	0	0
2	hc	23	2	0	0	0
2	hc	24	1	0	0	0
2	hc	25	1	0	0	0
2	hc	26	1	0	0	-1
2	hc	27	3	0	0	0
2	hc	28	2	0	0	0
2	hc	29	2	0	0	-1
3	hc	0	1	0	1	-1
3	hc	1	3	0	0	-1
3	hc	2	2	0	1	0
3	hc	3	2	0	0	0
3	hc	4	2	0	0	0
3	hc	5	2	0	0	0
3	hc	6	2	0	0	0
3	hc	7	2	0	0	0
3	hc	8	1	0	0	0
3	hc	9	1	0	1	0
3	hc	10	3	0	0	0
3	hc	11	3	0	1	0
3	hc	12	3	0	0	0
3	hc	13	2	0	0	-1
3	hc	14	3	0	0	0
3	hc	15	1	0	1	0
3	hc	16	2	0	0	0
3	hc	17	1	0	0	0
3	hc	18	1	0	0	0
3	hc	19	2	0	0	-1
3	hc	20	1	0	0	0
3	hc	21	1	0	0	0
3	hc	22	1	0	0	0
3	hc	23	3	0	0	-1
3	hc	24	1	0	0	0
3	hc	25	1	0	1	-1
3	hc	26	3	0	1	0
3	hc	27	2	0	1	0
3	hc	28	2	0	0	0
3	hc	29	2	0	0	-1
4	hc	0	1	0	1	0
4	hc	1	3	0	0	0
4	hc	2	3	0	1	0
4	hc	3	1	0	0	0
4	hc	4	2	0	0	0
4	hc	5	1	0	0	-1
4	hc	6	2	0	0	0
4	hc	7	2	0	0	0
4	hc	8	2	0	0	0
4	hc	9	2	0	0	0
4	hc	10	3	0	0	0
4	hc	11	2	0	0	0
4	hc	12	2	0	0	0
4	hc	13	2	0	0	0
4	hc	14	2	0	0	0
4	hc	15	1	0	0	0
4	hc	16	2	0	0	0
4	hc	17	3	0	0	0
4	hc	18	2	0	1	0
4	hc	19	3	0	0	0
4	hc	20	3	0	1	0
4	hc	21	3	0	0	0
4	hc	22	1	0	1	0
4	hc	23	2	0	1	0
4	hc	24	2	0	0	0
4	hc	25	3	0	0	0
4	hc	26	2	0	0	0
4	hc	27	2	0	0	0
4	hc	28	1	0	0	0
4	hc	29	3	0	0	0
